Row Labels,Average of DISSOLVED OXYGEN SATURATION(%),Average of FECAL COLIFORMS(mpn/100ml),Average of no3_n,Average of PH_FIELD,Average of BIOCHEMICAL OXYGEN DEMAND(mg/L),Average of o_po4_p,Average of TEMPERATURE,Average of TURBIDITY(NTU),Average of TOTAL DISSOLVED SOLIDS(mg/L)
2011,77.30277778,9655.833333,1.721932432,7.172698413,1.31892,0.03325,26.64933333,3.0175,144.6666667
2012,76.51135556,1826.666667,2.328597222,7.076833333,1.615,0.072491667,26.80555556,11,371.2553191
2013,79.50988594,3571.642857,1.8415,7.375714286,1.365113636,0.142214286,26.99318182,5.518571429,392.0113636
2014,75.89908,1360.285714,3.041578947,7.625813953,1.918113208,0.066714286,26.50555556,2.142857143,438.6666667
2015,76.83807368,8,1.254162791,7.513,1.637906977,0.028023256,26.3372093,2.666666667,495.0465116
2016,81.10221852,#DIV/0!,0.850866667,7.536206897,1.573666667,0.034633333,26.11666667,#DIV/0!,439.2666667
2017,64.72283143,#DIV/0!,0.646236842,7.478695652,1.847368421,0.018368421,26.18695652,#DIV/0!,421.5789474
2018,58.85588235,#DIV/0!,0.894285714,7.860851064,1.539473684,0.029714286,25.40909091,#DIV/0!,454.3142857
2019,55.99935484,#DIV/0!,1.389705882,7.70483871,1.875,0.059705882,26.01363636,#DIV/0!,352.6176471
2020,77.88888889,#DIV/0!,0.58575,7.68862069,1.473125,0.0725,25.86014925,68.17288889,300.3043333
2021,#DIV/0!,330,3.536272727,7.701987952,1.642758621,0.11028169,26.1996,60.50088496,343.7925
Grand Total,72.8718925,3331.205128,1.973407407,7.530866873,1.587425894,0.064221008,26.32365314,45.2207489,383.5715603
