station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
001-UBDDIB,Kibithu,Surface Water,Arunachal Pradesh,ANJAW,Hawai-Walong,Brahamaputra Basin,Brahmaputra Upper,CWC,15-04-2021 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.2,NULL,NULL,NULL,3,NULL,0.1,NULL,8,NULL,NULL,NULL,NULL,NULL,7.4,NULL,NULL,NULL,NULL,101.3,NULL,NULL,NULL,0.2,NULL,NULL,41.9,NULL,1.74,10,NULL,2.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,57.4,26.6,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UBDDIB,Kibithu,Surface Water,Arunachal Pradesh,ANJAW,Hawai-Walong,Brahamaputra Basin,Brahmaputra Upper,CWC,15-01-2021 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.5,NULL,NULL,NULL,1,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,NULL,NULL,NULL,NULL,109,NULL,NULL,NULL,0.2,NULL,NULL,45.9,NULL,NULL,8.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,56.7,19.5,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-ubddib,Tuting,Surface Water,Arunachal Pradesh,UPPER SIANG,TUTING,Brahamaputra Basin,Brahmaputra Upper,CWC,15-10-2013 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.3,NULL,252,NULL,NULL,NULL,NULL,145.625,58.25,49.9,NULL,NULL,8.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,25.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-ubddib,Tuting,Surface Water,Arunachal Pradesh,UPPER SIANG,TUTING,Brahamaputra Basin,Brahmaputra Upper,CWC,15-04-2017 00:00,NULL,NULL,NULL,NULL,NULL,0.083,5.527,NULL,NULL,NULL,NULL,NULL,26.4,NULL,NULL,NULL,7,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.1,NULL,235,NULL,NULL,NULL,NULL,298.75,119.5,6.54,NULL,NULL,3.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-ubddib,Tuting,Surface Water,Arunachal Pradesh,UPPER SIANG,TUTING,Brahamaputra Basin,Brahmaputra Upper,CWC,15-01-2017 00:00,NULL,NULL,NULL,NULL,NULL,0.083,50.904,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,4,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.5,NULL,200,NULL,NULL,NULL,NULL,110.208,44.083,61.9,NULL,NULL,4.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-ubddib,Tuting,Surface Water,Arunachal Pradesh,UPPER SIANG,TUTING,Brahamaputra Basin,Brahmaputra Upper,CWC,15-01-2018 00:00,NULL,NULL,NULL,NULL,NULL,0.08,34.43,NULL,NULL,NULL,NULL,NULL,17.6,NULL,NULL,NULL,11,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250,NULL,NULL,NULL,NULL,192.08,76.83,41.8,NULL,NULL,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-ubddib,Tuting,Surface Water,Arunachal Pradesh,UPPER SIANG,TUTING,Brahamaputra Basin,Brahmaputra Upper,CWC,15-07-2017 00:00,NULL,NULL,NULL,NULL,NULL,2.988,105.508,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,4,NULL,3.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170,NULL,NULL,NULL,NULL,187.918,75.167,121.4,NULL,NULL,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-ubddib,Tuting,Surface Water,Arunachal Pradesh,UPPER SIANG,TUTING,Brahamaputra Basin,Brahmaputra Upper,CWC,15-04-2018 00:00,NULL,NULL,NULL,NULL,NULL,0.083,47.601,NULL,NULL,NULL,NULL,NULL,15.2,NULL,NULL,NULL,5,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,NULL,230,NULL,NULL,NULL,NULL,164.333,65.733,57.87,NULL,NULL,0.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,22.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-ubddib,Tuting,Surface Water,Arunachal Pradesh,UPPER SIANG,TUTING,Brahamaputra Basin,Brahmaputra Upper,CWC,15-04-2018 00:00,NULL,NULL,NULL,NULL,NULL,0.083,47.601,NULL,NULL,NULL,NULL,NULL,15.2,NULL,NULL,NULL,5,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,NULL,NULL,NULL,NULL,164.333,65.733,57.87,NULL,NULL,0.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,115,22.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-ubddib,Tuting,Surface Water,Arunachal Pradesh,UPPER SIANG,TUTING,Brahamaputra Basin,Brahmaputra Upper,CWC,15-07-2018 00:00,NULL,NULL,NULL,NULL,NULL,2.49,69.672,NULL,NULL,NULL,NULL,NULL,28.8,NULL,NULL,NULL,3,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213,NULL,NULL,NULL,NULL,306.25,122.5,78.9,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107,29.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
