station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,01-08-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,104.042,NULL,NULL,NULL,NULL,1.2,12.82,NULL,NULL,NULL,10,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.2,NULL,NULL,50.8752,NULL,77,NULL,NULL,NULL,NULL,NULL,56.3417,63.44,NULL,5.17,5.83,NULL,15.67,35.2551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.29,NULL,NULL,0,0.91103,NULL,32.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,20-07-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,73.34,NULL,NULL,NULL,NULL,1,16.8,NULL,NULL,NULL,7.62,NULL,0,NULL,17.45,NULL,NULL,NULL,NULL,NULL,5.4,NULL,NULL,NULL,NULL,147.7,NULL,0.15,NULL,NULL,41.94,72.45,89.43,NULL,3.04,7.41,NULL,4.18,NULL,0,NULL,NULL,5.96,5.96,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.55,7.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.11,3.48,NULL,NULL,NULL,88.8,28.5,NULL,NULL,NULL,NULL,865.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,12-07-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,30.22,NULL,NULL,NULL,NULL,1.2,7.63,NULL,NULL,NULL,15.23,NULL,0,NULL,18.02,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,101.8,NULL,0.13,NULL,NULL,19.06,87.7,36.84,NULL,3.15,16.68,NULL,3.08,NULL,0.06,NULL,NULL,4.11,4.11,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.8,22.88,NULL,NULL,NULL,68.3,29,NULL,NULL,NULL,NULL,173.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,01-07-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,79.43,NULL,NULL,NULL,NULL,1,15.27,NULL,NULL,NULL,15.23,NULL,0,NULL,16.94,NULL,NULL,NULL,NULL,NULL,5.7,NULL,NULL,NULL,109.4,131.6,NULL,0.14,NULL,NULL,38.13,68.63,96.86,NULL,2.77,7.41,NULL,5.69,NULL,0,NULL,NULL,2.19,2.19,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.43,7.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.21,15.25,NULL,NULL,NULL,80.5,30.5,NULL,NULL,NULL,NULL,58.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,21-06-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,50.89,NULL,NULL,NULL,NULL,0.8,10.79,NULL,NULL,NULL,5.77,NULL,0,NULL,3.9,NULL,NULL,NULL,NULL,NULL,6.7,NULL,NULL,NULL,NULL,101.2,NULL,0.18,NULL,NULL,26.95,50.04,62.05,NULL,2.69,5.61,NULL,3.8,NULL,0,NULL,NULL,3.32,3.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.66,7.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.14,6.99,NULL,NULL,NULL,79.8,28,NULL,NULL,NULL,NULL,65.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,13-06-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,42.41,NULL,NULL,NULL,NULL,0.6,7.71,NULL,NULL,NULL,5.77,NULL,0,NULL,3.49,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,NULL,NULL,67.2,NULL,0.1,NULL,NULL,19.25,38.5,51.71,NULL,3.38,4.68,NULL,2.15,NULL,0,NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.87,23.73,NULL,NULL,NULL,39.5,29,NULL,NULL,NULL,NULL,321.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,01-06-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,63.61,NULL,NULL,NULL,NULL,1.3,13.87,NULL,NULL,NULL,77.3,NULL,0,NULL,5.02,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,164.5,NULL,0.19,NULL,NULL,34.65,80.84,77.57,NULL,4.84,11.23,NULL,8.52,NULL,0,NULL,NULL,1.48,1.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.82,16.21,NULL,NULL,NULL,195,31.5,NULL,NULL,NULL,NULL,13.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,01-04-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,67.86,NULL,NULL,NULL,NULL,0.9,15.27,NULL,NULL,NULL,17.14,NULL,0,NULL,3.33,NULL,NULL,NULL,NULL,NULL,6.5,NULL,NULL,NULL,NULL,203.8,NULL,0.21,NULL,NULL,38.13,68.63,82.74,NULL,4.39,7.41,NULL,12.3,NULL,0,NULL,NULL,1.25,1.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.85,13.18,NULL,NULL,NULL,120.4,27,NULL,NULL,NULL,NULL,8.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,01-03-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,56.76,NULL,NULL,NULL,NULL,0.8,14.44,NULL,NULL,NULL,16,NULL,0,NULL,4.07,NULL,NULL,NULL,NULL,NULL,7.1,NULL,NULL,NULL,NULL,171.1,NULL,0.07,NULL,NULL,36.07,64.92,72.09,NULL,2.68,7.01,NULL,8.12,NULL,0,NULL,NULL,1.82,1.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.21,16.79,NULL,NULL,NULL,120,21.5,NULL,NULL,NULL,NULL,0.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-mdburla,Manendragarh,Surface Water,Chhattisgarh,KORBA,KORBA,Mahanadi Basin,Mahanadi Middle,CWC,01-02-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,153.98,NULL,NULL,NULL,NULL,0.6,36.51,NULL,NULL,NULL,34.54,NULL,0,NULL,5.74,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,NULL,NULL,448.1,NULL,0.29,NULL,NULL,91.17,138.74,187.75,NULL,4.19,11.56,NULL,10.42,NULL,0,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.88,28.87,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,5.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
