station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-01-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,155.5,NULL,0,NULL,NULL,6.18,50,NULL,NULL,NULL,39.05,NULL,0,NULL,8,NULL,NULL,NULL,NULL,NULL,5.2,NULL,NULL,46.0666,NULL,473,NULL,0.2603,10,0.11904,NULL,200.938,189.71,NULL,4.301,18.225,NULL,34.5,26.7707,0.109512,NULL,0.069,11.1385,11.0695,NULL,0.0031002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.39,NULL,NULL,0,1.0618,NULL,125,7.4,NULL,34.56,NULL,NULL,100,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-12-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,130,NULL,0,NULL,NULL,NULL,42,NULL,NULL,NULL,39.05,NULL,0,NULL,32,NULL,NULL,NULL,NULL,NULL,5.1,NULL,NULL,46.2501,NULL,390,NULL,0.247,40,0.1488,NULL,180.938,158.6,NULL,10.948,18.225,NULL,39.1,30.4987,0,NULL,0.14766,1.26862,1.12096,NULL,0.25835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.97,NULL,NULL,0,1.26842,NULL,105,4.97,NULL,72,NULL,NULL,150,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-11-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,130,NULL,0,NULL,NULL,NULL,44,NULL,NULL,NULL,49.7,NULL,0,NULL,13,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,74.791,NULL,457,NULL,0.304,50,0.24924,NULL,175.306,158.6,NULL,3.91,15.6735,NULL,48.3,36.946,0,NULL,0.04968,5.93472,5.88504,NULL,0.146743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.56,NULL,NULL,0,1.59144,NULL,110,7.27,NULL,52.8,NULL,NULL,200,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-10-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,130,NULL,0,NULL,NULL,NULL,42,NULL,NULL,NULL,49.7,NULL,0,NULL,30,NULL,NULL,NULL,NULL,NULL,6.4,NULL,NULL,76.0276,NULL,404,NULL,0.304,20,0.19902,NULL,165.75,158.6,NULL,4.9657,14.58,NULL,38.41,32.8013,0,NULL,0.069,5.6738,5.6048,NULL,0.244916,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.12,NULL,NULL,0,1.3015,NULL,105,4.79,NULL,60.96,NULL,NULL,100,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-09-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,66.5,NULL,0.1656,NULL,NULL,NULL,26,NULL,NULL,NULL,12.78,NULL,0,NULL,4,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,85.3414,NULL,622,NULL,0.285,20,2.046,NULL,82.7188,81.13,NULL,4.692,4.2525,NULL,14.49,26.2863,0,NULL,0.01932,5.00199,4.98267,NULL,0.287285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.02,NULL,NULL,0,0.694449,NULL,65,7.57,NULL,10.08,NULL,NULL,150,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-08-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,66.5,NULL,0.14976,NULL,NULL,8.7622,26,NULL,NULL,NULL,12.78,NULL,0,NULL,22,NULL,NULL,NULL,NULL,NULL,4.8,NULL,NULL,61.3262,NULL,156,NULL,0.285,50,2.046,NULL,83.225,81.13,NULL,5.083,4.374,NULL,14.26,25.7617,0,NULL,0.01932,4.99358,4.97426,NULL,0.287285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.99,NULL,NULL,0,0.681362,NULL,65,12.2,NULL,10.08,NULL,NULL,200,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-07-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,251,NULL,0.396,NULL,NULL,NULL,92,NULL,NULL,NULL,145.55,NULL,0,NULL,12,NULL,NULL,NULL,NULL,NULL,3.6,NULL,NULL,47.6253,NULL,1289,NULL,0.304,50,1.2276,NULL,356.562,306.22,NULL,14.858,30.375,NULL,126.5,42.4138,0,NULL,1.794,38.2252,36.4312,NULL,0.454696,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.01,NULL,NULL,0,2.92229,NULL,230,NULL,NULL,105.6,NULL,NULL,160,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-06-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,55,NULL,0.71928,NULL,NULL,6.78,30,NULL,NULL,NULL,17.04,NULL,0,NULL,12,NULL,NULL,NULL,NULL,NULL,4.8,NULL,NULL,63.5005,NULL,185,NULL,0.247,20,0.3999,NULL,93.7312,67.1,NULL,4.692,4.4955,NULL,18.86,29.221,0,NULL,0.00966,11.7797,11.7701,NULL,0.025835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.06,NULL,NULL,0,0.849063,NULL,75,3.98,NULL,28.8,NULL,NULL,80,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-05-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,98.8,NULL,0.23976,NULL,NULL,6.36,29.12,NULL,NULL,NULL,17.0755,NULL,0,NULL,7,NULL,NULL,NULL,NULL,NULL,9.6,NULL,NULL,118.329,NULL,370,NULL,0.2508,40,1.5066,NULL,115.325,120.536,NULL,2.8934,10.206,NULL,16.1,22.8309,0.030888,NULL,0.02484,3.54185,3.51701,NULL,0.05167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.02,NULL,NULL,0,0.65403,NULL,72.8,6,NULL,52.32,NULL,NULL,160,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-UYDDEL,Palla,Surface Water,Delhi,NORTH WEST,SARASWATI VIHAR,Ganga Basin,Yamuna Upper,CWC,01-04-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,103.93,NULL,0.27972,NULL,NULL,3.48,44,NULL,NULL,NULL,29.11,NULL,0,NULL,6,NULL,NULL,NULL,NULL,NULL,10.08,NULL,NULL,115.292,NULL,310,NULL,0.1995,20,0.11904,NULL,137.844,126.795,NULL,3.58156,6.6825,NULL,23.6808,26.6345,0.0702,NULL,0.15732,2.76355,2.60623,NULL,0.231482,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.15,NULL,NULL,0,0.879121,NULL,110,5,NULL,66.72,NULL,NULL,50,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
