station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,02-06-2020 00:00,NULL,401,NULL,NULL,NULL,0,139,NULL,NULL,NULL,NULL,1.96,34.47,NULL,NULL,NULL,35,NULL,0,NULL,15.87,NULL,NULL,NULL,NULL,NULL,6.27,NULL,6.27,NULL,NULL,401,NULL,0.21,NULL,NULL,86,145,169.6,NULL,3.29,14.34,NULL,24.06,NULL,0.03,NULL,0.03,0.53,0.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,8.18,0,NULL,NULL,NULL,NULL,NULL,29.7,NULL,7.7,34,NULL,NULL,237,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-02-2007 00:00,NULL,NULL,NULL,NULL,NULL,0,159.966,NULL,NULL,NULL,NULL,0.7,30.5,NULL,NULL,NULL,3.021,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,280,NULL,0.05,NULL,NULL,NULL,100.417,97.54,NULL,0.1,5.8,NULL,1.4,2.95209,0.05,NULL,NULL,0.028024,0.028024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.22,0.06,NULL,0,0.0609061,NULL,76.25,15.38,NULL,14.46,111,NULL,NULL,187,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-12-2010 00:00,NULL,NULL,NULL,0.02,NULL,0,79.918,NULL,NULL,NULL,NULL,0.6,28,NULL,NULL,NULL,83.4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,380.9,NULL,0.18,NULL,NULL,NULL,98.3333,97.5,NULL,10.1,6.8,NULL,55.9,52.3273,0.06,NULL,NULL,2.8024,2.8024,NULL,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.12,0.2,NULL,0,2.45814,NULL,70,10,NULL,1,150,NULL,NULL,295,25,NULL,NULL,NULL,445,0.1,NULL,NULL,0,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-02-2011 00:00,NULL,NULL,NULL,0.05,NULL,0,109.918,NULL,NULL,NULL,NULL,0.6,32,NULL,NULL,NULL,68.2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325.2,NULL,0.1,NULL,NULL,NULL,110.417,134.1,NULL,8.9,7.3,NULL,48.1,46.3136,0.06,NULL,NULL,0.32,0.26,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,8.02,0.16,NULL,0.000407259,1.99592,NULL,80,15.4,NULL,6.7,110,NULL,NULL,220,21,NULL,NULL,NULL,330,1,NULL,NULL,0.06,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-04-2011 00:00,NULL,NULL,NULL,0.1,NULL,0,110,NULL,NULL,NULL,NULL,2,32,NULL,NULL,NULL,21.89,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,390.6,NULL,0.14,NULL,NULL,NULL,112.5,134.2,NULL,8.6,7.8,NULL,16.09,22.1575,0.06,NULL,NULL,3.35016,2.52216,NULL,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,7.63,0.2,NULL,0,0.661496,NULL,80,12.2,NULL,11.5,136,NULL,NULL,268,25,NULL,NULL,NULL,404,1,NULL,NULL,0.828,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-06-2004 00:00,NULL,NULL,NULL,NULL,NULL,5,75,NULL,NULL,NULL,NULL,1.3,32.06,NULL,NULL,NULL,17,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,304,NULL,0.12,NULL,NULL,NULL,108.483,91.44,NULL,NULL,6.8,NULL,NULL,NULL,0.05,NULL,NULL,0.042036,0.042036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,0.1,NULL,0,NULL,NULL,80.15,14.16,NULL,9.434,49,NULL,NULL,236,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-12-2003 00:00,NULL,NULL,NULL,NULL,NULL,0,179.957,NULL,NULL,NULL,NULL,1,30.5,NULL,NULL,NULL,34,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,344,NULL,0.48,NULL,NULL,NULL,100.417,109.73,NULL,NULL,5.8,NULL,NULL,NULL,0.05,NULL,NULL,0.056048,0.056048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.15,NULL,NULL,0,NULL,NULL,76.25,9.42,NULL,9.8,42,NULL,NULL,228,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-06-2007 00:00,NULL,NULL,NULL,NULL,NULL,4.98,209.969,NULL,NULL,NULL,NULL,0.4,32.06,NULL,NULL,NULL,65.623,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,NULL,0.079,NULL,NULL,NULL,112.65,121.92,NULL,18.9,7.8,NULL,38,37.7539,0.067,NULL,NULL,0.042036,0.042036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.92,0.08,NULL,0,1.56122,NULL,80.15,15.38,NULL,4.61,108,NULL,NULL,156,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-12-2007 00:00,NULL,NULL,NULL,NULL,NULL,4.98,169.986,NULL,NULL,NULL,NULL,0.4,32.06,NULL,NULL,NULL,61.55,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,421,NULL,0.05,NULL,NULL,NULL,108.483,97.54,NULL,4.8,6.8,NULL,40.2,43.3801,0.05,NULL,NULL,0.028024,0.028024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.36,0.104,NULL,0,1.68278,NULL,80.15,20.08,NULL,11.29,135,NULL,NULL,251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-TDSURAT,Garudeshwar,Surface Water,Gujarat,Narmada,Narmada,Narmada Basin,Narmada Lower,CWC,01-02-2008 00:00,NULL,NULL,NULL,NULL,NULL,0,199.949,NULL,NULL,NULL,NULL,1.6,32.06,NULL,NULL,NULL,16.131,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL,0.05,NULL,NULL,NULL,108.483,121.92,NULL,5.5,6.8,NULL,9.4,15.0929,0.05,NULL,NULL,0.014012,0.014012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.44,0.22,NULL,0,0.393486,NULL,80.15,22.08,NULL,11.91,112,NULL,NULL,206,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
