station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,02-02-2021 00:00,NULL,NULL,NULL,NULL,NULL,27.2,142.3,NULL,0.07,NULL,NULL,NULL,52.72,NULL,NULL,NULL,6.37,NULL,33,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,424.3,424.3,NULL,0.17,NULL,NULL,NULL,NULL,104.8,NULL,3.07,15.73,NULL,5.16,NULL,0.02,NULL,0.03,1.5,1.5,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.31,8.31,NULL,NULL,NULL,NULL,NULL,NULL,6.37,NULL,47.5,0,NULL,NULL,267,13.5,NULL,NULL,NULL,NULL,42.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,15-01-2020 00:00,NULL,NULL,NULL,NULL,NULL,12.9,84.9,NULL,NULL,NULL,NULL,NULL,16.19,NULL,NULL,NULL,6.71,NULL,15.5,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,308.3,308.3,NULL,NULL,NULL,NULL,NULL,NULL,70.96,NULL,2.21,24.56,NULL,4.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.81,8.81,NULL,NULL,NULL,NULL,NULL,NULL,7.79,NULL,41.5,0,NULL,NULL,194,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,17-02-2020 00:00,NULL,NULL,NULL,NULL,NULL,0,102.23,NULL,NULL,NULL,NULL,NULL,26.91,NULL,NULL,NULL,7.45,NULL,0,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,268.8,268.8,NULL,NULL,NULL,NULL,NULL,NULL,123,NULL,1.86,13.43,NULL,5.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.21,NULL,NULL,NULL,NULL,NULL,NULL,2.9,NULL,17.3,0,NULL,NULL,169,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,16-03-2020 00:00,NULL,NULL,NULL,NULL,NULL,0,87.76,NULL,NULL,NULL,NULL,NULL,27.98,NULL,NULL,NULL,14.42,NULL,0,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,233.5,233.5,NULL,NULL,NULL,NULL,NULL,NULL,105.32,NULL,2.78,10.32,NULL,11.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.81,7.81,NULL,NULL,NULL,NULL,NULL,NULL,8.73,NULL,19.92,0,NULL,NULL,147,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,15-09-2020 00:00,NULL,NULL,NULL,NULL,NULL,4.2,183.4,NULL,NULL,NULL,NULL,NULL,52.12,NULL,NULL,NULL,18.69,NULL,5.03,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,307.1,307.1,NULL,NULL,NULL,NULL,NULL,NULL,210,NULL,3.46,34.51,NULL,14.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.38,8.38,NULL,NULL,NULL,NULL,NULL,NULL,6.39,NULL,85.6,0,NULL,NULL,193,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,02-11-2020 00:00,NULL,NULL,NULL,NULL,NULL,0,69.2,NULL,NULL,NULL,NULL,NULL,26.81,NULL,NULL,NULL,12.67,NULL,0,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,331,331,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,2.77,17.97,NULL,9.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.16,8.16,NULL,NULL,NULL,NULL,NULL,NULL,8.98,NULL,61.5,0,NULL,NULL,209,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,02-12-2020 00:00,NULL,NULL,NULL,NULL,NULL,6.5,126.5,NULL,NULL,NULL,NULL,0,42.04,NULL,NULL,NULL,14.33,NULL,8,NULL,8,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,374,374,NULL,0.43,NULL,NULL,NULL,NULL,136,NULL,6.08,22,NULL,11.21,NULL,0.99,NULL,0.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.3,8.3,NULL,NULL,NULL,NULL,NULL,NULL,7.96,NULL,66.1,0,NULL,NULL,235,18,NULL,NULL,NULL,NULL,43.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,01-01-2021 00:00,NULL,NULL,NULL,NULL,NULL,13.7,177.6,NULL,0.21,NULL,NULL,NULL,44.7,NULL,NULL,NULL,15.9,NULL,16.4,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,208.1,206.1,NULL,0.46,NULL,NULL,NULL,NULL,180.2,NULL,7.7,22.6,NULL,12.2,NULL,2.09,NULL,0.05,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.86,9.86,NULL,NULL,NULL,NULL,NULL,NULL,3.31,NULL,34.5,0,NULL,NULL,130,7,NULL,NULL,NULL,NULL,2.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,01-03-2021 00:00,NULL,NULL,NULL,NULL,NULL,18.8,117.7,NULL,0.18,NULL,NULL,0,47.61,NULL,NULL,NULL,7.56,NULL,22.6,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.39,401.3,NULL,0.18,NULL,NULL,NULL,NULL,98,NULL,7.97,12.09,NULL,6.06,NULL,0.22,NULL,0.02,1,1,NULL,0.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.69,8.39,NULL,NULL,NULL,NULL,NULL,NULL,6.39,NULL,44.6,0,NULL,NULL,253,18.1,NULL,NULL,NULL,NULL,26.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
011-UYDDEL,Karnal,Surface Water,Haryana,KARNAL,KARNAL,Ganga Basin,Yamuna Upper,CWC,01-07-2021 00:00,NULL,NULL,NULL,NULL,NULL,17.7,93.8,NULL,NULL,NULL,NULL,NULL,43.15,NULL,NULL,NULL,18.36,NULL,21.25,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,291.8,291.8,NULL,0.22,NULL,NULL,NULL,NULL,70,NULL,4.08,4.82,NULL,14.37,NULL,NULL,NULL,0.46,1.7,1.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.42,8.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31.12,0,NULL,NULL,184,31.2,NULL,NULL,NULL,NULL,28.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
