station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,21-06-2021 00:00,NULL,NULL,NULL,NULL,NULL,9.3,56.8,NULL,NULL,NULL,NULL,NULL,17.96,NULL,NULL,NULL,12.86,NULL,11.1,NULL,25,NULL,NULL,NULL,NULL,NULL,7.8,NULL,NULL,NULL,184.7,184.7,NULL,0.17,400,NULL,NULL,NULL,46,NULL,2.19,11.38,NULL,10.28,NULL,0.36,NULL,NULL,1.99,1.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.54,8.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32.27,0,NULL,4600,116,21,NULL,4.59,NULL,NULL,91.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,01-04-2008 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36.328,NULL,NULL,NULL,13.135,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,258,NULL,0.209,50,0.10044,NULL,94.8194,115.9,NULL,2.24043,0.95985,NULL,14.5567,24.5189,0.008424,NULL,NULL,1.01993,1.01027,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.54,0.001,NULL,0.00781179,0.651012,NULL,90.82,15,NULL,16.8,NULL,NULL,100,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00966,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,02-06-2008 00:00,NULL,NULL,NULL,NULL,NULL,4.6563,71.35,NULL,0,NULL,NULL,NULL,33.532,NULL,NULL,NULL,11.3458,NULL,5.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,249,NULL,0.2109,60,0.05022,NULL,103.827,75.64,NULL,2.42029,4.79925,NULL,13.34,21.4078,0.094068,NULL,NULL,2.95218,2.94252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.32,NULL,NULL,0,0.570591,NULL,83.83,12,NULL,30.48,NULL,NULL,150,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00966,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,03-02-2020 00:00,NULL,NULL,NULL,NULL,NULL,3.32,73.06,NULL,0.17,NULL,NULL,2.18,30.1,NULL,NULL,NULL,14.5,NULL,4,NULL,8,NULL,NULL,NULL,NULL,NULL,8.45,NULL,NULL,8.45,271,270.7,NULL,0.4,4500,NULL,457.48,182.99,81,NULL,1.33,23.03,NULL,11.57,NULL,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.51,8.51,0.1,NULL,NULL,NULL,NULL,NULL,8.38,NULL,84.6,0,NULL,8000,171,7,NULL,NULL,NULL,NULL,1.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,01-04-2020 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,07-11-2020 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0.13,NULL,NULL,1.54,42.61,NULL,NULL,NULL,12.34,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,7.5,NULL,NULL,NULL,328,328,NULL,0.42,200,NULL,NULL,NULL,68,NULL,1.48,10.8,NULL,9.81,NULL,8.8,NULL,0.01,1.01,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.38,8.38,0.02,NULL,NULL,NULL,NULL,NULL,7.27,NULL,71.6,0,NULL,4500,207,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,05-10-2020 00:00,NULL,NULL,NULL,NULL,NULL,0,96.7,NULL,NULL,NULL,NULL,0.64,32.02,NULL,NULL,NULL,11.85,NULL,0,NULL,6,NULL,NULL,NULL,NULL,NULL,8.5,NULL,NULL,NULL,275,275,NULL,NULL,NULL,NULL,NULL,NULL,116,NULL,2.79,14.22,NULL,9.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.23,8.23,NULL,NULL,NULL,NULL,NULL,NULL,8.29,NULL,34.76,0,NULL,23000,174,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,03-03-2021 00:00,NULL,NULL,NULL,NULL,NULL,8.5,208.7,NULL,0.08,NULL,NULL,2.37,45.85,NULL,NULL,NULL,29.76,NULL,10.2,NULL,8,NULL,NULL,NULL,NULL,NULL,7.8,NULL,NULL,NULL,357.9,357.9,NULL,0.2,13000,NULL,NULL,NULL,230,NULL,5.12,34.8,NULL,23.62,NULL,0.46,NULL,0.15,0,0,NULL,1.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.37,8.37,NULL,NULL,NULL,NULL,NULL,NULL,3.84,NULL,58.86,0,NULL,33000,225,12,NULL,NULL,NULL,NULL,3.18,NULL,NULL,0,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,21-05-2021 00:00,NULL,NULL,NULL,NULL,NULL,7.1,130.8,NULL,NULL,NULL,NULL,7.94,39.88,NULL,NULL,NULL,41.86,NULL,8.49,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,7.91,NULL,NULL,282.6,282.6,NULL,0.18,2000,NULL,NULL,NULL,140,NULL,6.12,20.34,NULL,33.67,NULL,0.31,NULL,NULL,0.16,0.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.36,8.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67.15,0,NULL,23000,178,NULL,NULL,NULL,NULL,NULL,3.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL
006-UYDDEL,Yaswant Nagar,Surface Water,Himachal Pradesh,SIRMAUR,PACHHAD(T),Ganga Basin,Yamuna Upper,CWC,01-06-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,98.3,NULL,NULL,NULL,NULL,4.7,25.31,NULL,NULL,NULL,16.93,NULL,0,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,8.2,8.2,NULL,366.9,366.9,NULL,0.11,400,NULL,NULL,NULL,118,NULL,3.48,19.48,NULL,13.23,NULL,118,NULL,NULL,3.14,3.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.15,8.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.28,0,NULL,7900,231,15,NULL,NULL,NULL,NULL,64.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
