station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,02-03-2015 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,03-03-2013 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0.04,NULL,NULL,1.6,53,NULL,NULL,NULL,12.6,NULL,0,NULL,39.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,NULL,0.12,7,NULL,630.833,252.333,0,NULL,0.9,12.6,NULL,8.3,NULL,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,0.132,NULL,NULL,NULL,NULL,NULL,1.4,NULL,2.6,NULL,NULL,33,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,02-01-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0.06,NULL,NULL,1.6,46,NULL,NULL,NULL,15.2,NULL,0,NULL,63.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.7,NULL,265,NULL,0.01,7,NULL,528.543,211.417,0,NULL,0.5,7.9,NULL,8.6,NULL,0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,0.229,NULL,NULL,NULL,NULL,NULL,2.1,NULL,2.5,NULL,NULL,22,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,02-12-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0.05,NULL,NULL,1.6,41,NULL,NULL,NULL,13.7,NULL,0,NULL,55.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.1,NULL,252,NULL,0.03,7,NULL,482.708,193.083,0,NULL,0.8,8.9,NULL,8.2,NULL,0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,0.195,NULL,NULL,NULL,NULL,NULL,2,NULL,2.1,NULL,NULL,22,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,02-11-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0.05,NULL,NULL,1.6,39,NULL,NULL,NULL,12.7,NULL,0,NULL,55.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.4,NULL,244,NULL,0.04,7,NULL,461.875,184.75,0,NULL,0.8,8.9,NULL,7.2,NULL,0.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,0.149,NULL,NULL,NULL,NULL,NULL,2.3,NULL,2.2,NULL,NULL,26,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,03-02-2012 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,03-01-2012 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,02-06-2017 00:00,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0.08,NULL,NULL,0.1,18.8,NULL,NULL,NULL,9.9,NULL,0,NULL,11.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.3,NULL,158,NULL,0.06,NULL,NULL,224.582,89.833,NULL,NULL,1.5,4.6,NULL,6.2,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,0.157,NULL,NULL,NULL,NULL,NULL,2.24,NULL,3.43,NULL,NULL,NULL,80,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,02-05-2017 00:00,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0.09,NULL,NULL,1.1,28.9,NULL,NULL,NULL,9,NULL,0,NULL,19.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,189,NULL,0.4,NULL,NULL,327.292,130.917,NULL,NULL,1.2,4.2,NULL,5.4,NULL,0.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,0.042,NULL,NULL,NULL,NULL,NULL,3.4,NULL,5.3,NULL,NULL,NULL,100,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
002-jhelum,Sangam,Surface Water,Jammu & Kashmir,ANANTNAG,ANANTNAG,Indus (Up to border) Basin,Jhelum,CWC,02-04-2017 00:00,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0.09,NULL,NULL,0.9,30.4,NULL,NULL,NULL,11.4,NULL,0,NULL,13.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.87,114,177,NULL,0.38,NULL,NULL,350.417,140.167,NULL,NULL,1.6,5.4,NULL,6.7,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.8,0.018,NULL,NULL,NULL,NULL,NULL,2.82,NULL,3.7,NULL,NULL,NULL,90,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
