station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,02-02-2021 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.05,NULL,NULL,NULL,18.99,NULL,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,340,NULL,NULL,NULL,NULL,NULL,NULL,102.48,NULL,NULL,19.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-12-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,1.885,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL,NULL,19.525,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,242,NULL,NULL,NULL,NULL,NULL,348.855,139.542,2.1,NULL,3.13,18.91,NULL,8.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34.08,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-10-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,1.885,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,13.135,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,370,NULL,NULL,NULL,NULL,NULL,285.958,114.383,2.3,NULL,2.35,4.15,NULL,2.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.84,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-08-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,0.902,NULL,NULL,NULL,NULL,NULL,22.4,NULL,NULL,NULL,17.75,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,184,NULL,NULL,NULL,NULL,NULL,213.043,85.217,2.3,NULL,3.13,8.42,NULL,5.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.88,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-06-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,0.656,NULL,NULL,NULL,NULL,NULL,15.4,NULL,NULL,NULL,14.91,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,197,NULL,NULL,NULL,NULL,NULL,225.98,90.392,1.1,NULL,3.52,8.42,NULL,11.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,33.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-04-2014 00:00,NULL,NULL,NULL,NULL,NULL,0.083,2.298,NULL,NULL,NULL,NULL,NULL,15.4,NULL,NULL,NULL,16.685,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,360,NULL,NULL,NULL,NULL,NULL,699.958,279.983,0.8,NULL,4.692,10.49,NULL,23.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-02-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,1.311,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,NULL,33.37,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,320,NULL,NULL,NULL,NULL,NULL,546.958,218.783,2.6,NULL,3.52,13.66,NULL,14.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-12-2013 00:00,NULL,NULL,NULL,NULL,NULL,0,1.967,NULL,NULL,NULL,NULL,NULL,32.6,NULL,NULL,NULL,19.88,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,240,NULL,NULL,NULL,NULL,NULL,490.23,196.092,1.6,NULL,3.52,33.18,NULL,10.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34.08,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-10-2013 00:00,NULL,NULL,NULL,NULL,NULL,0,0.656,NULL,NULL,NULL,NULL,NULL,29.2,NULL,NULL,NULL,13.135,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107,NULL,NULL,NULL,NULL,NULL,251.918,100.767,2.4,NULL,2.35,29.77,NULL,1.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.84,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-08-2013 00:00,NULL,NULL,NULL,NULL,NULL,0,0.738,NULL,NULL,NULL,NULL,NULL,15.4,NULL,NULL,NULL,14.91,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,184,NULL,NULL,NULL,NULL,NULL,231.78,92.712,0.8,NULL,1.95,14.64,NULL,5.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-06-2013 00:00,NULL,NULL,NULL,NULL,NULL,0.498,1.656,NULL,NULL,NULL,NULL,NULL,17.2,NULL,NULL,NULL,12.7,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185,NULL,NULL,NULL,NULL,NULL,243.668,97.467,0.9,NULL,4.3,8.418,NULL,11.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-04-2013 00:00,NULL,NULL,NULL,NULL,NULL,0,1.885,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,20.23,NULL,0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,433,NULL,NULL,NULL,NULL,NULL,669.725,267.89,0.8,NULL,4.69,7.32,NULL,21.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-02-2013 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49.8,NULL,NULL,NULL,24.85,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.3,NULL,3.91,24.156,NULL,17.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-12-2012 00:00,NULL,NULL,NULL,NULL,NULL,3.818,14.224,NULL,NULL,NULL,NULL,NULL,37.8,NULL,NULL,NULL,22.01,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,268,NULL,NULL,NULL,NULL,NULL,269.725,107.89,24.6,NULL,2.74,18.91,NULL,14.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.44,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-10-2012 00:00,NULL,NULL,NULL,NULL,NULL,9.794,28.355,NULL,NULL,NULL,NULL,NULL,11.4,NULL,NULL,NULL,10.29,NULL,4.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,NULL,NULL,NULL,NULL,NULL,3692.48,1476.99,8,NULL,3.52,24.156,NULL,14.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-08-2012 00:00,NULL,NULL,NULL,NULL,NULL,0,14.754,NULL,NULL,NULL,NULL,NULL,339.4,NULL,NULL,NULL,37.98,NULL,11.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118,NULL,NULL,NULL,NULL,NULL,307.188,122.875,10.6,NULL,10.16,25.13,NULL,42.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-06-2012 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,20.945,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,3.91,9.15,NULL,48.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-12-2005 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,25.8,NULL,NULL,NULL,13.5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.6,NULL,2.35,10.5,NULL,14.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-11-2005 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,25.8,NULL,NULL,NULL,12.42,NULL,6.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.2,NULL,3.13,10.5,NULL,14.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-10-2005 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,14.2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.5,NULL,2.73,8.42,NULL,16.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-09-2005 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,27.6,NULL,NULL,NULL,18.1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.3,NULL,2.74,6.34,NULL,14.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-08-2006 00:00,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,22.4,NULL,NULL,NULL,14.2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.3,NULL,3.13,9.4,NULL,14.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-07-2005 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.6,NULL,NULL,NULL,11.71,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.5,NULL,3.91,13.66,NULL,19.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"006-DDASL	",Hendegir,Surface Water,Jharkhand,RANCHI,KARRA,Ganga Basin,Damodar,CWC,01-06-2005 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.8,NULL,NULL,NULL,10.65,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.5,NULL,2.34,18.91,NULL,5.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
