station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-07-1988 00:00,NULL,NULL,NULL,NULL,NULL,0,18,NULL,0.09,NULL,NULL,NULL,12.4,NULL,NULL,NULL,39,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,NULL,NULL,NULL,NULL,82,11,NULL,1.6,12.393,NULL,4.8,11.0568,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.99,NULL,NULL,0,0.230666,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-08-1988 00:00,NULL,NULL,NULL,NULL,NULL,0,14,NULL,0.02,NULL,NULL,NULL,15.6,NULL,NULL,NULL,19,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL,NULL,NULL,NULL,NULL,64,8.5,NULL,0.78,6.075,NULL,2.5,7.72816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.18,NULL,NULL,0,0.136014,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-09-1988 00:00,NULL,NULL,NULL,NULL,NULL,0,18,NULL,NULL,NULL,NULL,NULL,15.6,NULL,NULL,NULL,22,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,NULL,51,11,NULL,0.78,2.916,NULL,3,11.1636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.31,NULL,NULL,0,0.182863,NULL,39,NULL,NULL,1.4,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-10-1988 00:00,NULL,NULL,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL,NULL,18.8,NULL,NULL,NULL,22,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,85,9.8,NULL,0.78,9.234,NULL,2.5,5.95285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.64,NULL,NULL,0,0.118017,NULL,47,NULL,NULL,1,NULL,NULL,NULL,NULL,28.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-11-1988 00:00,NULL,NULL,NULL,NULL,NULL,0,18,NULL,NULL,NULL,NULL,NULL,18.8,NULL,NULL,NULL,15,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,72,11,NULL,0.78,6.075,NULL,3.2,8.71445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.69,NULL,NULL,0,0.164147,NULL,47,2,NULL,1.4,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-12-1988 00:00,NULL,NULL,NULL,NULL,NULL,0,20,NULL,NULL,NULL,NULL,NULL,21.6,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL,NULL,NULL,NULL,NULL,143,NULL,NULL,0.78,21.627,NULL,3.5,5.02484,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1,NULL,NULL,0.127364,NULL,54,4.3,NULL,1.9,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-01-1989 00:00,NULL,NULL,NULL,NULL,NULL,0,22,NULL,NULL,NULL,NULL,NULL,6.4,NULL,NULL,NULL,17,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL,NULL,NULL,NULL,NULL,24,13.4,NULL,0.78,1.944,NULL,3.7,24.3757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.61,0.1,NULL,0,0.328738,NULL,16,16.7,NULL,1.9,NULL,NULL,NULL,NULL,26.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-02-1989 00:00,NULL,NULL,NULL,NULL,NULL,0,27,NULL,NULL,NULL,NULL,NULL,4.8,NULL,NULL,NULL,19,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL,NULL,NULL,NULL,NULL,28,16.5,NULL,0.78,3.888,NULL,3.9,22.6468,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.58,NULL,NULL,0,0.32074,NULL,12,15.2,NULL,1.9,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-06-2001 00:00,NULL,NULL,NULL,NULL,NULL,0,22,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,8.52,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.08,NULL,NULL,77.6798,NULL,60,NULL,NULL,NULL,NULL,NULL,26,26.84,NULL,1.7,3.888,NULL,4.9,27.4601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.58,0.06,NULL,0,0.418177,NULL,10,9.28,NULL,1,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,02-07-2001 00:00,NULL,NULL,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL,NULL,4.8,NULL,NULL,NULL,9.2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.84,NULL,NULL,96.635,NULL,33,NULL,NULL,NULL,NULL,NULL,20,19.52,NULL,0.7,1.944,NULL,2.4,20.0062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.44,0.02,NULL,0,0.233575,NULL,12,9.78,NULL,1,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
