station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-06-1998 00:00,NULL,NULL,NULL,0,NULL,0,181.5,NULL,0.71928,NULL,NULL,NULL,34.4,NULL,NULL,NULL,62.125,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,690,NULL,0.399,NULL,0,NULL,197.375,221.43,NULL,5.865,26.73,NULL,46.529,33.2321,0,NULL,NULL,10.0046,10.0046,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.14,NULL,NULL,0,1.44633,NULL,86,15.7,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-06-1991 00:00,NULL,NULL,NULL,0,NULL,18.68,183.5,NULL,0.01,NULL,NULL,3,28.8,NULL,NULL,NULL,50.06,NULL,22.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.2,NULL,NULL,654,NULL,0.38,NULL,0,NULL,132.75,178.12,NULL,2.35,14.58,NULL,66.93,51.91,0,NULL,NULL,0.29404,0.28,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.28,NULL,NULL,1.03,2.54,NULL,72,13.6,NULL,42.24,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-03-1990 00:00,NULL,NULL,NULL,0,NULL,19.92,140,NULL,0.07,NULL,NULL,2.13,25.4,NULL,NULL,NULL,40.12,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.93,NULL,NULL,610,NULL,0.19,NULL,0.04,NULL,124.25,122,NULL,3.13,14.58,NULL,40.02,40.6,0,NULL,NULL,0.0276,0,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.42,NULL,NULL,0.33,1.57,NULL,63.5,1.8,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.03,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-02-1990 00:00,NULL,NULL,NULL,0,NULL,19.92,140,NULL,0.06,NULL,NULL,1.33,30.6,NULL,NULL,NULL,28.05,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.16,NULL,NULL,530,NULL,0.38,NULL,0.02,NULL,120.54,122,NULL,1.96,10.57,NULL,37.03,39.7,0,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,NULL,NULL,0.4,1.47,NULL,76.5,4.1,NULL,46.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-01-1990 00:00,NULL,NULL,NULL,0,NULL,18.43,171.5,NULL,0.04,NULL,NULL,6.3,33.4,NULL,NULL,NULL,35.86,NULL,22.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.98,NULL,NULL,620,NULL,0.38,NULL,0.02,NULL,174.63,164.09,NULL,1.96,21.87,NULL,34.04,29.63,0,NULL,NULL,0.0138,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.49,NULL,NULL,0,1.12,NULL,83.5,6,NULL,44.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-12-1989 00:00,NULL,NULL,NULL,0,NULL,23.16,190.5,NULL,0.04,NULL,NULL,0.87,48,NULL,NULL,NULL,29.82,NULL,27.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.07,NULL,NULL,630,NULL,0.38,NULL,0,NULL,156.96,175.68,NULL,1.96,8.87,NULL,37.95,34.2,0,NULL,NULL,0.0276,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.45,NULL,NULL,0.68,1.32,NULL,0,12.6,NULL,42.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.03,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-11-1989 00:00,NULL,NULL,NULL,0,NULL,18.43,162.5,NULL,0.04,NULL,NULL,10.54,27.8,NULL,NULL,NULL,31.95,NULL,22.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.63,NULL,NULL,580,NULL,0.38,NULL,0.04,NULL,182.39,153.11,NULL,1.96,27.09,NULL,29.9,26.18,0,NULL,NULL,0.01,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.54,NULL,NULL,0,0.97,NULL,69.5,10.9,NULL,24.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,03-10-1989 00:00,NULL,NULL,NULL,0,NULL,9.21,130,NULL,0,NULL,NULL,10.09,29.2,NULL,NULL,NULL,28.05,NULL,11.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.93,NULL,NULL,500,NULL,0.19,NULL,0.06,NULL,214.24,136.03,NULL,1.96,33.9,NULL,11.5,10.43,0,NULL,NULL,0.0138,0,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.69,NULL,NULL,0,0.34,NULL,73,13.8,NULL,9.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-09-1989 00:00,NULL,NULL,NULL,0,NULL,9.21,83.5,NULL,0.06,NULL,NULL,6.8,27.8,NULL,NULL,NULL,15.98,NULL,11.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.73,NULL,NULL,300,NULL,0.38,NULL,0,NULL,110.51,79.3,NULL,1.96,9.84,NULL,8.97,14.79,0,NULL,NULL,0.07006,0.07,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.65,NULL,NULL,0,0.37,NULL,69.5,9.7,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-08-1989 00:00,NULL,NULL,NULL,0,NULL,15.19,143.5,NULL,0.06,NULL,NULL,6.6,39,NULL,NULL,NULL,19.88,NULL,18.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.17,NULL,NULL,552,NULL,0.19,NULL,0,NULL,160.78,137.86,NULL,3.13,15.19,NULL,28.98,27.79,0,NULL,NULL,0.07006,0.07,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.59,NULL,NULL,0,1,NULL,97.5,9.7,NULL,9.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
