station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,02-05-2021 00:00,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,NULL,NULL,NULL,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,35.6,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,17,NULL,NULL,NULL,NULL,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,12-06-2021 00:00,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.2,NULL,NULL,NULL,4.5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.3,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,55.4,NULL,NULL,1.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,02-04-2021 00:00,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,6.3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,34.8,NULL,NULL,2.9,NULL,NULL,NULL,NULL,NULL,0,0.09,0.09,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,NULL,NULL,NULL,NULL,NULL,NULL,7.31,NULL,8.56,NULL,NULL,NULL,24,14,NULL,NULL,NULL,NULL,14.8,NULL,NULL,0,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,02-06-2021 00:00,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.78,NULL,NULL,NULL,4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.81,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,52.5,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,10-09-2021 00:00,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.4,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40.7,NULL,NULL,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,13.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,22-06-2021 00:00,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7,2.4,NULL,NULL,NULL,3.5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.6,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,29.2,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,16,NULL,NULL,NULL,NULL,10.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,02-07-2021 00:00,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.28,12.9,NULL,NULL,NULL,3.5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL,NULL,1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,11-07-2021 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.75,10,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.4,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,2.3,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,8.3,NULL,NULL,0,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,21-07-2021 00:00,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.8,NULL,NULL,NULL,5.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,0.06,NULL,NULL,NULL,NULL,21.4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.56,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SIDGTK,Tarum Chu,Surface Water,Sikkim,NORTH DISTRICT,CHUNGTHANG,Brahamaputra Basin,Brahmaputra Lower,CWC,02-06-2020 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.9,NULL,NULL,NULL,2.9,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,14.6,NULL,1,0.5,NULL,2.3,NULL,NULL,NULL,NULL,1.31,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.05,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.3,NULL,NULL,NULL,NULL
