station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,01-07-2008 00:00,NULL,NULL,NULL,NULL,NULL,0,100.025,NULL,0.13,NULL,NULL,0.4,25.63,NULL,NULL,NULL,59.32,NULL,0,NULL,3.57,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,75.3012,NULL,380,NULL,0.37,16000,0.07,NULL,115.7,122.03,NULL,3.15,12.39,NULL,38.2,41.1209,0,NULL,NULL,1.97,1.93,NULL,0.017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.2,NULL,NULL,0,1.54992,NULL,64.075,12.83,NULL,21.9,NULL,NULL,16000,264,27,NULL,2.01,NULL,NULL,5,NULL,NULL,0.04,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,02-07-2001 00:00,NULL,NULL,NULL,NULL,NULL,5.8,82.0431,NULL,0,NULL,NULL,1.6,22,NULL,NULL,NULL,9,NULL,6.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.7,NULL,NULL,75.4712,NULL,200,NULL,0.66,NULL,0.07,NULL,75.1127,86,NULL,2.4,4.9,NULL,11,23.4433,0,NULL,NULL,0.55144,0.55144,NULL,0.03912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.5,NULL,NULL,0.138528,0.552286,NULL,54.934,12.1923,NULL,6,NULL,NULL,NULL,NULL,30.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,02-08-2001 00:00,NULL,NULL,NULL,NULL,NULL,3.8,42.1195,NULL,0,NULL,NULL,0.4,16,NULL,NULL,NULL,7,NULL,4.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,88.491,NULL,140,NULL,1.24,NULL,0.09,NULL,51.8945,42,NULL,0.6,2.9,NULL,3,11.0311,0.03296,NULL,NULL,1.82834,1.82834,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.4,NULL,NULL,0,0.181212,NULL,39.952,9.6255,NULL,3,NULL,NULL,NULL,NULL,29.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,03-09-2001 00:00,NULL,NULL,NULL,NULL,NULL,0,51.6707,NULL,0,NULL,NULL,0,13,NULL,NULL,NULL,5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,91.0155,NULL,130,NULL,0.32,NULL,0,NULL,44.4035,63,NULL,1,2.9,NULL,4,16.0069,0,NULL,NULL,0.03164,0.03164,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.2,NULL,NULL,0.14525,0.261204,NULL,32.461,13.2618,NULL,3,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,04-10-2001 00:00,NULL,NULL,NULL,NULL,NULL,3.9,116.922,NULL,0,NULL,NULL,0.6,26,NULL,NULL,NULL,13,NULL,4.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,93.6159,NULL,253,NULL,0.42,NULL,0,NULL,92.9251,133,NULL,1.7,6.8,NULL,20,31.4003,0,NULL,NULL,0.28024,0.28024,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.4,NULL,NULL,0.479618,0.902804,NULL,64.922,15.1869,NULL,10,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,01-11-2001 00:00,NULL,NULL,NULL,NULL,NULL,7.8,140.177,NULL,0,NULL,NULL,0,33,NULL,NULL,NULL,13,NULL,9.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.7,NULL,NULL,81.0844,NULL,309,NULL,0.63,NULL,0,NULL,110.404,152,NULL,1.7,6.8,NULL,22,29.8407,0,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.6,NULL,NULL,0.59505,0.911083,NULL,82.401,19.8927,NULL,9,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,03-12-2001 00:00,NULL,NULL,NULL,NULL,NULL,3.8,156.943,NULL,0,NULL,NULL,0,32,NULL,NULL,NULL,16,NULL,4.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,81.6041,NULL,345,NULL,0.68,NULL,0,NULL,126.027,182,NULL,1.8,11.2,NULL,27,31.4099,0.06592,NULL,NULL,0.01808,0.01808,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.6,NULL,NULL,0.617962,1.04656,NULL,79.904,18.1815,NULL,21,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,01-01-2002 00:00,NULL,NULL,NULL,NULL,NULL,9.7,155.496,NULL,0,NULL,NULL,0,56,NULL,NULL,NULL,17,NULL,11.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,89.7364,NULL,356,NULL,0.49,NULL,0,NULL,160.011,166,NULL,1.8,4.9,NULL,27,26.5807,0.07416,NULL,NULL,0,0,NULL,0.0489,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.4,NULL,NULL,0,0.928776,NULL,139.832,12.1923,NULL,30,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,01-02-2002 00:00,NULL,NULL,NULL,NULL,NULL,9.6,161.89,NULL,0,NULL,NULL,0.5,46,NULL,NULL,NULL,20,NULL,11.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,85.531,NULL,392,NULL,0.72,NULL,0,NULL,132.982,174,NULL,2.2,4.4,NULL,33,34.5935,0.06592,NULL,NULL,0.5198,0.5198,NULL,0.00978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.3,NULL,NULL,0.577715,1.2452,NULL,114.862,14.3313,NULL,22,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
014-lgdhyd,Perur,Surface Water,Telangana,MULUGU,MULUGU,Godavari Basin,Godavari Lower,CWC,01-03-2002 00:00,NULL,NULL,NULL,NULL,NULL,11.5,178.849,NULL,0,NULL,NULL,0.3,44,NULL,NULL,NULL,25,NULL,13.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,73.9554,NULL,419,NULL,1.01,NULL,0,NULL,135.812,190,NULL,2.2,6.3,NULL,61,48.92,0.03296,NULL,NULL,0.11978,0.11978,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.6,NULL,NULL,0.860106,2.27764,NULL,109.868,15.4008,NULL,25,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
