station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
10,Berinag,Surface Water,Uttarakhand,Pithoragarh,GANGOLIHAT,Ganga Basin,Ghaghara,CWC,07-12-2020 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001PANCH,PANCHESHWAR,Surface Water,Uttarakhand,Champawat,CHAMPAWAT,Ganga Basin,Ghaghara,CWC,01-05-2017 00:00,0,NULL,0,NULL,NULL,0.913,70.768,0,0.11,NULL,NULL,NULL,43.12,NULL,0,NULL,43.38,NULL,1.1,NULL,1,NULL,0,0,NULL,NULL,NULL,NULL,0,NULL,310,310,NULL,0.18,NULL,0,518.98,207.592,84.1,NULL,1.85,11.17,NULL,5.12,NULL,0.12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,8.16,8.16,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32.04,0,NULL,NULL,186,24.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
001PANCH,PANCHESHWAR,Surface Water,Uttarakhand,Champawat,CHAMPAWAT,Ganga Basin,Ghaghara,CWC,03-10-2018 00:00,NULL,NULL,NULL,NULL,NULL,0,110.5,NULL,0.02,NULL,NULL,0,30.35,NULL,NULL,NULL,14.34,NULL,0,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,213,213,NULL,0.146,0,NULL,381.957,152.783,134.81,NULL,1.69,10.53,NULL,14.03,NULL,0.0308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.19,8.19,0.00228,NULL,NULL,NULL,NULL,NULL,5.8075,NULL,18,0,NULL,0,128,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001PANCH,PANCHESHWAR,Surface Water,Uttarakhand,Champawat,CHAMPAWAT,Ganga Basin,Ghaghara,CWC,17-08-2017 00:00,NULL,NULL,NULL,NULL,NULL,10.408,62.179,NULL,0.03,NULL,NULL,NULL,24.38,NULL,NULL,NULL,24,NULL,12.54,NULL,202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,214,214,NULL,0.08,NULL,NULL,316.458,126.583,50.36,NULL,2.14,10,NULL,5.01,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.32,8.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.6,NULL,NULL,NULL,127,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001PANCH,PANCHESHWAR,Surface Water,Uttarakhand,Champawat,CHAMPAWAT,Ganga Basin,Ghaghara,CWC,01-06-2017 00:00,NULL,NULL,NULL,NULL,NULL,0,79.156,NULL,0.02,NULL,NULL,NULL,24.89,NULL,NULL,NULL,52,NULL,1,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,231,231,NULL,0.16,NULL,NULL,398.52,159.408,78,NULL,1.62,22.28,NULL,4.42,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.15,8.15,0.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.72,NULL,NULL,NULL,139,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,08-12-2020 00:00,NULL,NULL,NULL,NULL,NULL,0,44.2,NULL,NULL,NULL,NULL,NULL,21.76,NULL,NULL,NULL,8.39,NULL,0,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177,177,NULL,0.09,NULL,NULL,NULL,NULL,53,NULL,3.8,6.89,NULL,6.75,NULL,0.99,NULL,0,0.94,0.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.51,8.51,NULL,NULL,NULL,NULL,NULL,NULL,3.93,NULL,37.6,0,NULL,NULL,112,7,NULL,NULL,NULL,NULL,0.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,23-08-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,35,NULL,NULL,NULL,NULL,NULL,15.73,NULL,NULL,NULL,3.48,NULL,0,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,0.21,NULL,NULL,NULL,NULL,42,NULL,1.57,2.04,NULL,2.79,NULL,0.06,NULL,NULL,2.66,2.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.44,0,NULL,NULL,58,13,NULL,NULL,NULL,NULL,16.03,NULL,NULL,NULL,NULL,NULL,0,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,11-08-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,24.2,NULL,NULL,NULL,NULL,NULL,11.52,NULL,NULL,NULL,2.75,NULL,0,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,0.17,NULL,NULL,NULL,NULL,29,NULL,1.18,1.24,NULL,2.21,NULL,0.06,NULL,NULL,2.87,2.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.19,0,NULL,NULL,49,13,NULL,NULL,NULL,NULL,51.3,NULL,NULL,NULL,NULL,NULL,0,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,02-08-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,30.8,NULL,NULL,NULL,NULL,NULL,12.95,NULL,NULL,NULL,8.06,NULL,0,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,0.2,NULL,NULL,NULL,NULL,37,NULL,1.25,1.44,NULL,6.42,NULL,0.05,NULL,NULL,2.62,2.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.77,7.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.36,0,NULL,NULL,50,13,NULL,NULL,NULL,NULL,188,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,22-07-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,25.8,NULL,NULL,NULL,NULL,NULL,11.68,NULL,NULL,NULL,7.12,NULL,0,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,86,NULL,0.31,NULL,NULL,NULL,NULL,31,NULL,1.62,1.78,NULL,5.71,NULL,0.05,NULL,NULL,2.46,2.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.97,7.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.24,0,NULL,NULL,54.04,13.5,NULL,NULL,NULL,NULL,7.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
