station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-09-2004 00:00,NULL,NULL,NULL,NULL,NULL,0,114.5,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,11.715,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,367.917,147.167,69.8,NULL,3.51,7.2,NULL,12.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.96,NULL,NULL,NULL,NULL,305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-11-2016 00:00,NULL,NULL,NULL,NULL,NULL,8.134,83.874,NULL,NULL,NULL,NULL,NULL,37.8,NULL,NULL,NULL,14.7,NULL,9.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,519.042,207.617,97.9,NULL,3.51,8.28,NULL,20.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.8,NULL,NULL,NULL,NULL,24.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-10-2016 00:00,NULL,NULL,NULL,NULL,NULL,8.134,78.137,NULL,NULL,NULL,NULL,NULL,47.38,NULL,NULL,NULL,11.9,NULL,9.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,383.832,153.533,82.4,NULL,3.12,4.08,NULL,15.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.16,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-09-2016 00:00,NULL,NULL,NULL,NULL,NULL,0,69.754,NULL,NULL,NULL,NULL,NULL,34.4,NULL,NULL,NULL,12.95,NULL,9.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,391.332,156.533,75.4,NULL,3.51,4.08,NULL,19.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.96,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-08-2016 00:00,NULL,NULL,NULL,NULL,NULL,4.15,48.825,NULL,NULL,NULL,NULL,NULL,32.6,NULL,NULL,NULL,15.4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394.167,157.667,85.1,NULL,3.51,8.28,NULL,25.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.8,NULL,NULL,NULL,NULL,29.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-07-2016 00:00,NULL,NULL,NULL,NULL,NULL,4.399,63.096,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,16.45,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,242.918,97.167,49.4,NULL,3.9,11.4,NULL,19.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.2,NULL,NULL,NULL,NULL,29.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-12-2014 00:00,NULL,NULL,NULL,NULL,NULL,0.083,5.167,NULL,NULL,NULL,NULL,NULL,37.8,NULL,NULL,NULL,17.5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,307.75,123.1,3.5,NULL,3.12,6.24,NULL,5.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.88,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-11-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,5.8,NULL,NULL,NULL,NULL,NULL,25.8,NULL,NULL,NULL,16.45,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,278.333,111.333,3.1,NULL,3.12,6.24,NULL,4.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.84,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-10-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,2.869,NULL,NULL,NULL,NULL,NULL,22.4,NULL,NULL,NULL,17.5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,449.083,179.633,3.5,NULL,3.12,7.2,NULL,4.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.12,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
003-LGD3BEH,FARAKKA,Surface Water,West Bengal,MURSHIDABAD,FARAKKA,Ganga Basin,Bhagirathi and others (Ganga Lower),CWC,01-09-2014 00:00,NULL,NULL,NULL,NULL,NULL,13.114,29.284,NULL,NULL,NULL,NULL,NULL,32.6,NULL,NULL,NULL,15.4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,467.833,187.133,3.5,NULL,2.34,17.52,NULL,5.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.08,NULL,NULL,NULL,NULL,29.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
